,x,y,Ux,Uy,N,Q,M,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
270,2.3375,-3.05,-0.234444425691051,-0.176384864785745,-7.53969902712572,3.7680208994617,-6.37744234808076,3.0,0.0,0.0,0.016048501014311455,0.0,0.0,0.4131399660047916,0.4131399660047916,0.4131399660047916,0.05614250768708392,0.0,0.0,0.0,0.41339752038959793,0.41339752038959793,0.41339752038959793
271,2.3375,-3.2125,-0.224115222927365,-0.172649121718436,-7.57318528326734,4.17172598311831,-5.73250471939419,3.0,0.0,0.0,0.016119777628102117,0.0,0.0,0.3713599709146021,0.3713599709146021,0.3713599709146021,0.06215760589573345,0.0,0.0,0.0,0.3716198181453816,0.3716198181453816,0.3716198181453816
272,2.3375,-3.375,-0.212649988567115,-0.168939078461043,-7.60669516629847,4.5769280942629,-5.02153464048567,3.0,0.0,0.0,0.016191104532515644,0.0,0.0,0.32530229791672927,0.32530229791672927,0.32530229791672927,0.06819500941517989,0.0,0.0,0.0,0.3255644497827121,0.3255644497827121,0.3255644497827121
273,2.3375,-3.5375,-0.200077992158362,-0.165261940621406,-7.64020504932958,4.98440655585637,-4.24453607884277,3.0,0.0,0.0,0.016262431436929126,0.0,0.0,0.2749672040307728,0.2749672040307728,0.2749672040307728,0.07426632994994675,0.0,0.0,0.0,0.2752316707070136,0.2752316707070136,0.2752316707070136
274,2.3375,-3.7,-0.186423802626358,-0.161609571836519,-7.67369130547114,5.39494069085965,-3.40145279953727,3.0,0.0,0.0,0.01633370805071966,0.0,0.0,0.22035104627651197,0.22035104627651197,0.22035104627651197,0.08038317920455801,0.0,0.0,0.0,0.22061783629519813,0.22061783629519813,0.22061783629519813
275,2.3375,-3.7,-0.186423802626358,-0.161609571836519,-7.67370758876364,5.39216781206114,-3.40145279953727,3.0,0.0,0.0,0.016333742710251196,0.0,0.0,0.22035104627651197,0.22035104627651197,0.22035104627651197,0.08034186404909194,0.0,0.0,0.0,0.22061783742743665,0.22061783742743665,0.22061783742743665
276,2.3375,-3.8625,-0.171720932087333,-0.158020516712987,-7.70719384490524,5.80219527900492,-2.49208029280575,3.0,0.0,0.0,0.016405019324041818,0.0,0.0,0.16144057621482405,0.16144057621482405,0.16144057621482405,0.08645116408458148,0.0,0.0,0.0,0.16170970087384623,0.16170970087384623,0.16170970087384623
277,2.3375,-4.025,-0.155993829531457,-0.1544549539438,-7.74070372793642,6.20533304420656,-1.51606033304984,3.0,0.0,0.0,0.01647634622845545,0.0,0.0,0.09821258747182832,0.09821258747182832,0.09821258747182832,0.09245780939937266,0.0,0.0,0.0,0.09848405745686825,0.09848405745686825,0.09848405745686825
278,2.3375,-4.1875,-0.139271187124323,-0.150919441885246,-7.77421361096756,6.59841365013861,-0.475425439401549,3.0,0.0,0.0,0.016547673132868996,0.0,0.0,0.030798749585134115,0.030798749585134115,0.030798749585134115,0.098314605720045,0.0,0.0,0.0,0.03107257507124639,0.03107257507124639,0.098314605720045
279,2.3375,-4.35,-0.121578416115227,-0.147406527506637,-7.80769986710909,6.97826963927363,0.627656156746722,3.0,0.0,0.0,0.016618949746659468,0.0,0.0,0.04066047627056575,0.04066047627056575,0.04066047627056575,0.10397435877317811,0.0,0.0,0.0,0.04093666576124774,0.04093666576124774,0.10397435877317811
280,2.3375,-4.35,-0.121578416115227,-0.147406527506637,-7.80771615040165,6.96021149482229,0.627656156746722,3.0,0.0,0.0,0.016618984406191133,0.0,0.0,0.04066047627056575,0.04066047627056575,0.04066047627056575,0.10370529723113128,0.0,0.0,0.0,0.04093666691325897,0.04093666691325897,0.10370529723113128
281,2.3375,-4.5125,-0.102937204160886,-0.143951294301586,-7.84120240654328,7.31907924417479,1.78836572575032,3.0,0.0,0.0,0.016690261019981816,0.0,0.0,0.1158529257991601,0.1158529257991601,0.1158529257991601,0.10905233110229362,0.0,0.0,0.0,0.11613149061207521,0.11613149061207521,0.11613149061207521
282,2.3375,-4.675,-0.083366195790313,-0.140517430301079,-7.87471228957453,7.59724358760079,3.00220105283975,3.0,0.0,0.0,0.0167615879243956,0.0,0.0,0.19448693899726602,0.19448693899726602,0.19448693899726602,0.11319690572269922,0.0,0.0,0.0,0.19476788982701326,0.19476788982701326,0.19476788982701326
283,2.3375,-4.8375,-0.0627548894467144,-0.137110870135387,-7.90822217260575,7.77317662720765,4.25250597241993,3.0,0.0,0.0,0.016832914828809317,0.0,0.0,0.27548350529730176,0.27548350529730176,0.27548350529730176,0.11581826114828914,0.0,0.0,0.0,0.2757668523189357,0.2757668523189357,0.2757668523189357
284,2.3375,-5.0,-0.0411223077944585,-0.133724817371313,-7.94170842874731,7.82535046510278,5.52157015173042,3.0,0.0,0.0,0.01690419144259985,0.0,0.0,0.3576953236536087,0.3576953236536087,0.3576953236536087,0.1165956374350052,0.0,0.0,0.0,0.35798107534193674,0.35798107534193674,0.35798107534193674
285,2.3375,-5.0,-0.0411223077944585,-0.133724817371313,-7.94172331496372,7.61532608398251,5.52157015173043,3.0,0.0,0.0,0.016904223128408304,0.0,0.0,0.3576953236536093,0.3576953236536093,0.3576953236536093,0.11346633010202192,0.0,0.0,0.0,0.35798107641318433,0.35798107641318433,0.35798107641318433
286,2.3375,-5.13461538461539,-0.0380059447149253,-0.131005446757548,-7.96946340881557,7.04148162102977,6.50790070896318,3.0,0.0,0.0,0.016963268843988837,0.0,0.0,0.42159124785702556,0.42159124785702556,0.42159124785702556,0.10491620046311323,0.0,0.0,0.0,0.421879000346899,0.421879000346899,0.421879000346899
287,2.3375,-5.26923076923077,-0.0351626361294059,-0.128333718504921,-7.99722307524493,6.42200424126694,7.41559604747525,3.0,0.0,0.0,0.017022356220453835,0.0,0.0,0.48039306852866825,0.48039306852866825,0.48039306852866825,0.09568615251930332,0.0,0.0,0.0,0.4806828291399643,0.4806828291399643,0.4806828291399643
288,2.3375,-5.40384615384616,-0.0325170797003689,-0.125723045657499,-8.02498274167421,5.71540324246586,8.23339414744872,3.0,0.0,0.0,0.01708144359691866,0.0,0.0,0.5333712156887912,0.5333712156887912,0.5333712156887912,0.08515798585957006,0.0,0.0,0.0,0.5336629914041459,0.5336629914041459,0.5336629914041459
289,2.3375,-5.53846153846154,-0.030075492613643,-0.123158384171039,-8.05272283552578,4.8801879223984,8.94830145174175,3.0,0.0,0.0,0.017140489312498598,0.0,0.0,0.5796839478581514,0.5796839478581514,0.5796839478581514,0.07271350007289183,0.0,0.0,0.0,0.5799777442320232,0.5799777442320232,0.5799777442320232
290,2.3375,-5.53846153846154,-0.030075492613643,-0.123158384171039,-8.05273632466538,4.86950329628685,8.94830145174175,3.0,0.0,0.0,0.017140518024582434,0.0,0.0,0.5796839478581514,0.5796839478581514,0.5796839478581514,0.07255430198997063,0.0,0.0,0.0,0.5799777452163024,0.5799777452163024,0.5799777452163024
291,2.3375,-5.67307692307692,-0.0278143203663879,-0.120711545504363,-8.08047641851693,3.96593960889624,9.54254207155763,3.0,0.0,0.0,0.017199563740162332,0.0,0.0,0.6181797171759691,0.6181797171759691,0.6181797171759691,0.05909144373662489,0.0,0.0,0.0,0.618475542168821,0.618475542168821,0.618475542168821
292,2.3375,-5.80769230769231,-0.0257269446863446,-0.118308553030544,-8.10823608494565,3.06982048679277,10.01651108476,3.0,0.0,0.0,0.017258651116625962,0.0,0.0,0.6488841173593248,0.6488841173593248,0.6488841173593248,0.04573950752299499,0.0,0.0,0.0,0.6491819783976902,0.6491819783976902,0.6491819783976902
